sim_idx,mpi_era,activity,institution_ID,source_ID,Resolution,experiment_ID,member_ID,table ID,variable,grid_label,version,data_node/0,data_node,url,number_of_files,date_start,date_stop,start_count,year_step,size,grid,nominal_resolution
70,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r1i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1546507890,gn,50 km
71,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r2i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1546267022,gn,50 km
72,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r3i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1546624661,gn,50 km
73,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r4i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1546087187,gn,50 km
74,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r5i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1546312495,gn,50 km
75,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r6i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1546208488,gn,50 km
76,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r7i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1545944582,gn,50 km
77,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r8i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1545916570,gn,50 km
78,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r9i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1545757734,gn,50 km
79,CMIP6,CMIP,MPI-M,MPI-ESM1-2-HR,HR,historical,r10i1p1f1,Omon,zos,gn,v20190710,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,33,185001,201412,0,5,1545257511,gn,50 km
